,datetime,open,close,high,low,volume
0,2021-07-20,16.38,19.66,19.66,16.38,2826
1,2021-07-21,21.63,21.63,21.63,21.63,790
2,2021-07-22,23.79,23.79,23.79,23.79,4813
3,2021-07-23,26.17,26.17,26.17,24.5,99842
4,2021-07-26,27.97,24.5,27.97,23.55,196410
5,2021-07-27,25.59,26.95,26.95,24.63,205095
6,2021-07-28,25.1,24.26,25.6,24.26,34597
7,2021-07-29,23.22,23.72,24.05,22.18,180458
8,2021-07-30,26.09,26.09,26.09,25.41,124168
9,2021-08-02,26.3,25.5,26.58,24.29,164180
10,2021-08-03,23.33,22.95,23.55,22.95,148104
11,2021-08-04,22.8,21.65,22.8,21.0,116520
12,2021-08-05,21.23,20.81,21.64,20.8,82126
13,2021-08-06,20.65,19.95,20.81,19.94,85228
14,2021-08-09,19.85,20.07,20.51,19.85,54746
15,2021-08-10,20.01,20.28,20.5,19.72,76254
16,2021-08-11,20.22,20.79,20.93,20.05,74794
17,2021-08-12,20.53,19.94,20.56,19.86,71035
18,2021-08-13,19.9,20.45,20.59,19.81,67576
19,2021-08-16,20.35,21.42,22.4,20.3,117190
20,2021-08-17,21.05,21.93,22.6,20.84,117102
21,2021-08-18,21.54,21.45,21.72,20.92,72814
22,2021-08-19,21.35,19.9,21.4,19.69,75932
23,2021-08-20,19.7,18.6,19.72,18.4,61507
24,2021-08-23,18.6,18.74,18.92,18.58,30161
25,2021-08-24,18.63,19.23,19.3,18.52,42686
26,2021-08-25,19.1,19.55,19.7,18.78,46682
27,2021-08-26,19.6,19.99,20.63,19.6,74064
28,2021-08-27,19.57,19.45,20.1,19.06,49610
29,2021-08-30,19.45,20.02,20.48,19.3,54142
30,2021-08-31,20.01,19.62,20.2,19.39,33122
31,2021-09-01,19.62,20.03,20.5,18.68,54570
32,2021-09-02,20.03,20.38,20.52,19.8,48182
33,2021-09-03,20.24,19.85,20.58,19.84,37789
34,2021-09-06,19.92,20.04,20.18,19.68,25725
35,2021-09-07,20.16,19.76,20.16,19.65,26955
36,2021-09-08,19.66,19.34,19.86,19.22,31214
37,2021-09-09,19.34,19.19,19.44,19.1,21039
38,2021-09-10,19.19,21.11,21.11,19.19,118009
39,2021-09-13,20.2,21.18,21.75,19.86,132635
40,2021-09-14,20.46,20.1,20.77,20.1,67641
41,2021-09-15,20.5,19.9,20.5,19.6,38404
42,2021-09-16,19.9,19.63,20.18,19.63,29701
43,2021-09-17,19.47,19.04,19.55,18.89,33516
44,2021-09-22,18.8,19.36,19.5,18.8,20767
45,2021-09-23,19.33,19.38,19.69,19.12,22868
46,2021-09-24,19.38,18.9,19.39,18.83,24833
47,2021-09-27,18.97,17.99,19.3,17.51,31613
48,2021-09-28,17.61,17.21,17.63,17.01,17797
49,2021-09-29,17.03,16.95,17.41,16.9,15736
50,2021-09-30,17.15,17.27,17.4,16.88,14291
51,2021-10-08,17.35,17.53,17.75,17.35,14400
52,2021-10-11,17.53,17.4,17.6,17.16,18051
53,2021-10-12,17.4,16.91,17.4,16.71,15857
54,2021-10-13,16.94,17.28,17.32,16.81,12254
55,2021-10-14,17.28,17.6,17.91,17.06,17181
56,2021-10-15,17.5,17.35,17.58,17.25,10170
57,2021-10-18,17.34,17.46,17.5,17.2,9156
58,2021-10-19,17.59,17.65,17.99,17.59,15436
59,2021-10-20,17.52,17.33,17.65,17.32,12298
60,2021-10-21,17.18,17.1,17.29,16.86,14252
61,2021-10-22,17.0,17.45,17.5,16.91,16266
62,2021-10-25,17.56,18.26,18.35,17.41,36935
63,2021-10-26,18.0,18.2,18.42,17.87,27436
64,2021-10-27,17.95,18.07,18.23,17.7,17064
65,2021-10-28,17.19,17.88,17.92,16.6,24615
66,2021-10-29,17.89,18.3,18.5,17.45,23283
67,2021-11-01,18.3,18.75,18.79,18.02,35500
68,2021-11-02,18.6,18.15,18.6,18.01,25660
69,2021-11-03,18.33,17.67,18.44,17.34,23600
70,2021-11-04,17.6,18.3,18.58,17.59,27952
71,2021-11-05,18.26,18.07,18.69,18.01,20714
72,2021-11-08,18.0,18.31,18.39,17.83,14868
73,2021-11-09,18.31,18.51,18.66,18.26,17708
74,2021-11-10,18.5,18.4,18.5,18.2,12081
75,2021-11-11,18.23,18.15,18.5,18.11,14327
76,2021-11-12,18.06,18.28,18.34,18.06,12530
77,2021-11-15,18.13,19.16,19.68,18.13,48185
78,2021-11-16,19.25,19.36,19.65,19.11,36703
79,2021-11-17,19.15,19.27,19.36,19.11,16425
80,2021-11-18,19.27,19.11,19.6,19.1,29243
81,2021-11-19,19.01,19.07,19.2,18.51,20035
82,2021-11-22,19.09,18.76,19.19,18.75,19195
83,2021-11-23,18.92,18.71,18.92,18.65,12481
84,2021-11-24,18.71,19.01,19.07,18.58,18669
85,2021-11-25,19.22,18.72,19.26,18.7,17232
86,2021-11-26,18.78,18.22,18.79,18.18,16322
87,2021-11-29,18.01,17.79,18.22,17.66,14483
88,2021-11-30,17.95,17.88,18.09,17.75,10698
89,2021-12-01,17.87,17.89,18.12,17.66,10857
90,2021-12-02,18.12,18.67,19.38,17.5,45550
91,2021-12-03,18.58,18.68,18.83,18.4,22959
92,2021-12-06,18.8,19.07,19.2,18.22,34072
93,2021-12-07,18.94,19.35,19.35,18.66,37420
94,2021-12-08,19.42,19.2,19.5,19.15,24589
95,2021-12-09,19.2,19.89,20.68,19.2,67280
96,2021-12-10,19.83,19.36,20.1,19.08,39518
97,2021-12-13,19.29,18.81,19.38,18.7,38888
98,2021-12-14,18.81,18.96,19.22,18.51,20107
99,2021-12-15,18.84,20.86,20.86,18.7,52058
100,2021-12-16,21.57,20.29,21.95,19.95,92458
101,2021-12-17,20.47,20.4,20.97,19.88,55447
102,2021-12-20,20.0,19.4,20.25,19.17,45786
103,2021-12-21,19.26,19.78,19.93,19.2,28876
104,2021-12-22,19.75,19.35,19.89,19.29,26359
105,2021-12-23,19.35,19.55,19.81,18.7,43187
106,2021-12-24,19.54,19.11,19.71,18.5,37058
107,2021-12-27,19.1,18.82,19.1,18.61,15880
108,2021-12-28,18.93,18.58,19.03,18.52,24044
109,2021-12-29,18.68,18.98,19.23,18.52,21713
110,2021-12-30,18.9,18.95,19.15,18.67,17170
111,2021-12-31,18.93,18.78,19.16,18.73,14902
112,2022-01-04,18.54,18.84,18.92,18.5,11347
113,2022-01-05,18.71,19.13,19.26,18.52,29482
114,2022-01-06,19.02,18.96,19.21,18.93,17331
115,2022-01-07,18.95,18.92,19.15,18.78,13855
116,2022-01-10,18.96,18.85,19.1,18.59,10496
117,2022-01-11,18.82,18.81,19.09,18.76,13037
118,2022-01-12,18.86,19.05,19.12,18.86,14408
119,2022-01-13,19.13,18.69,19.15,18.68,13271
120,2022-01-14,18.65,17.86,18.65,17.64,31415
121,2022-01-17,17.81,17.96,18.03,17.76,13817
122,2022-01-18,17.99,17.74,18.0,17.68,12013
123,2022-01-19,17.65,17.68,17.81,17.51,9910
124,2022-01-20,17.69,17.11,17.72,17.11,12314
125,2022-01-21,17.06,16.9,17.12,16.88,6988
126,2022-01-24,16.72,16.8,16.88,16.7,6434
127,2022-01-25,16.8,15.8,16.83,15.77,14603
128,2022-01-26,15.81,15.87,16.08,15.81,8814
129,2022-01-27,15.87,15.18,15.88,15.17,13169
130,2022-01-28,15.2,15.38,15.59,15.2,7935
131,2022-02-07,15.68,15.54,16.06,15.47,7264
132,2022-02-08,15.68,15.86,15.94,15.55,9315
133,2022-02-09,15.96,15.97,15.97,15.8,7084
134,2022-02-10,15.99,15.92,15.99,15.8,6159
135,2022-02-11,15.88,15.46,15.88,15.36,8084
136,2022-02-14,15.4,15.72,15.82,15.25,7409
137,2022-02-15,15.7,15.71,15.88,15.52,6660
138,2022-02-16,15.72,16.03,16.11,15.72,11077
139,2022-02-17,16.1,16.06,16.32,15.95,11528
140,2022-02-18,15.98,16.15,16.18,15.83,7553
141,2022-02-21,16.2,16.18,16.23,16.01,7745
142,2022-02-22,16.14,15.9,16.14,15.82,9278
143,2022-02-23,16.02,16.2,16.28,15.96,10371
144,2022-02-24,16.06,15.81,16.65,15.64,15656
145,2022-02-25,16.14,15.97,16.24,15.9,7699
146,2022-02-28,16.1,15.87,16.1,15.6,6460
147,2022-03-01,15.9,16.08,16.17,15.85,6781
148,2022-03-02,15.97,15.97,16.04,15.89,5818
149,2022-03-03,15.97,16.03,16.11,15.87,7436
150,2022-03-04,15.95,15.8,16.05,15.77,7093
151,2022-03-07,15.75,15.56,15.75,15.45,7151
152,2022-03-08,15.54,15.0,15.57,14.95,11123
153,2022-03-09,15.0,14.33,15.08,13.72,11518
154,2022-03-10,14.64,14.89,15.09,14.49,10519
155,2022-03-11,15.02,14.95,15.02,14.52,6264
156,2022-03-14,14.8,14.6,15.09,14.59,5926
157,2022-03-15,14.5,13.87,14.71,13.82,9727
158,2022-03-16,14.27,14.2,14.42,13.73,8744
159,2022-03-17,14.42,14.35,14.61,14.2,7707
160,2022-03-18,14.43,14.48,14.58,14.29,5572
161,2022-03-21,14.69,14.68,14.75,14.48,6021
162,2022-03-22,14.97,14.7,15.28,14.67,14474
163,2022-03-23,14.6,16.17,16.17,14.59,17966
164,2022-03-24,16.86,15.88,16.86,15.88,65448
165,2022-03-25,15.68,15.15,15.88,15.08,37207
166,2022-03-28,15.11,14.99,15.11,14.66,18274
167,2022-03-29,15.21,14.41,15.38,14.36,22175
168,2022-03-30,14.59,14.53,14.78,14.34,11045
169,2022-03-31,14.46,14.39,14.65,14.23,10006
170,2022-04-01,14.47,14.56,14.72,14.09,17288
171,2022-04-06,14.2,14.55,14.62,14.2,9028
172,2022-04-07,14.51,14.13,14.52,14.1,8533
173,2022-04-08,14.15,14.28,14.46,13.84,10666
174,2022-04-11,14.3,13.86,14.3,13.78,8130
175,2022-04-12,13.99,14.02,14.08,13.67,5805
176,2022-04-13,14.11,14.11,14.28,13.95,7841
177,2022-04-14,14.18,14.26,14.39,14.15,5389
178,2022-04-15,14.3,13.85,14.3,13.82,9187
179,2022-04-18,13.85,13.92,13.93,13.43,5378
180,2022-04-19,13.98,14.05,14.13,13.7,4511
181,2022-04-20,14.2,13.95,14.21,13.85,4625
182,2022-04-21,14.15,13.46,14.15,13.46,6390
183,2022-04-22,13.47,13.68,13.68,12.13,6260
184,2022-04-25,13.5,12.7,13.51,12.61,7471
185,2022-04-26,12.64,11.96,12.92,11.96,5523
186,2022-04-27,11.88,12.11,12.19,11.44,7957
187,2022-04-28,12.09,11.78,12.1,11.66,5435
188,2022-04-29,11.97,12.18,12.36,11.77,7840
189,2022-05-05,12.3,12.62,12.93,12.13,7649
190,2022-05-06,12.56,12.75,12.98,12.17,9228
191,2022-05-09,12.8,12.83,12.99,12.57,6355
192,2022-05-10,12.74,13.27,13.28,12.63,12322
193,2022-05-11,13.27,13.23,13.54,13.01,18858
194,2022-05-12,13.44,12.92,13.44,12.8,13437
195,2022-05-13,12.96,13.0,13.12,12.85,8194
196,2022-05-16,13.0,12.86,13.15,12.83,5461
197,2022-05-17,12.96,12.8,12.99,12.59,8753
198,2022-05-18,12.8,12.96,13.11,12.63,6328
199,2022-05-19,12.8,13.01,13.05,12.75,5812
200,2022-05-20,13.1,13.12,13.4,12.85,8133
201,2022-05-23,13.26,13.26,13.34,13.05,9675
202,2022-05-24,13.46,12.68,13.48,12.68,9174
203,2022-05-25,12.68,12.95,12.99,12.68,4927
204,2022-05-26,12.94,13.09,13.14,12.67,8362
205,2022-05-27,12.8,12.93,13.13,12.68,10606
206,2022-05-30,12.9,12.9,12.95,12.69,7077
207,2022-05-31,13.0,13.13,13.17,12.76,12909
208,2022-06-01,13.11,13.19,13.24,13.0,9054
209,2022-06-02,13.28,13.39,13.45,13.04,11518
210,2022-06-06,13.27,13.55,13.64,13.27,8803
211,2022-06-07,13.5,13.39,13.7,13.33,6549
212,2022-06-08,13.39,13.31,13.55,13.14,7735
213,2022-06-09,13.39,13.05,13.44,12.97,6951
214,2022-06-10,13.13,13.2,13.28,12.98,5403
215,2022-06-13,13.15,13.21,13.32,13.06,4901
216,2022-06-14,13.23,13.32,13.32,12.85,7948
217,2022-06-15,13.46,13.16,13.52,13.15,8972
218,2022-06-16,13.16,13.07,13.27,13.05,6313
219,2022-06-17,13.15,13.15,13.25,12.86,6409
220,2022-06-20,13.25,13.92,14.35,13.1,35167
221,2022-06-21,13.99,13.73,14.03,13.57,18393
222,2022-06-22,13.73,13.3,13.73,13.26,9725
223,2022-06-23,13.38,13.9,13.99,13.29,21653
224,2022-06-24,13.9,14.07,14.27,13.69,28121
225,2022-06-27,14.1,13.77,14.1,13.47,16692
226,2022-06-28,13.82,14.34,14.59,13.73,29424
227,2022-06-29,14.24,13.79,14.44,13.76,21355
228,2022-06-30,14.06,15.17,15.17,13.75,45691
229,2022-07-01,15.3,16.69,16.69,14.88,130228
230,2022-07-04,16.81,16.01,17.52,15.56,126333
231,2022-07-05,15.2,14.85,15.54,14.56,74566
232,2022-07-06,15.0,16.34,16.34,14.9,55462
233,2022-07-07,16.64,16.69,17.49,16.6,133313
234,2022-07-08,16.44,15.95,16.48,15.7,80416
235,2022-07-11,15.94,15.5,15.97,15.15,52710
236,2022-07-12,15.6,14.4,15.6,14.36,53880
237,2022-07-13,14.34,14.13,14.49,14.02,36433
238,2022-07-14,14.1,14.67,14.83,13.91,40648
239,2022-07-15,14.53,14.1,14.62,14.08,31469
240,2022-07-18,14.15,14.32,14.44,14.02,24449
241,2022-07-19,14.31,14.46,14.5,14.15,28995
242,2022-07-20,14.35,14.64,14.65,14.27,38462
243,2022-07-21,14.63,14.56,14.89,14.44,34363
244,2022-07-22,14.45,14.2,14.69,14.1,27442
245,2022-07-25,14.13,14.14,14.45,13.96,18471
246,2022-07-26,14.08,14.27,14.44,13.7,22919
247,2022-07-27,14.11,14.65,14.8,14.11,30224
248,2022-07-28,14.67,14.94,15.07,14.58,34128
249,2022-07-29,14.94,15.62,16.25,14.68,81296
250,2022-08-01,15.57,15.68,16.15,15.4,39876
251,2022-08-02,15.58,15.06,15.58,14.69,36271
252,2022-08-03,15.4,15.23,15.84,14.95,41993
253,2022-08-04,15.29,15.58,15.65,14.92,31380
254,2022-08-05,15.29,15.4,16.0,15.1,36166
255,2022-08-08,15.12,15.6,15.85,15.05,29462
256,2022-08-09,15.6,15.05,15.86,14.86,49870
257,2022-08-10,14.9,14.98,15.3,14.68,34829
258,2022-08-11,15.1,15.21,15.66,15.01,24570
259,2022-08-12,15.23,16.08,16.2,14.9,68363
260,2022-08-15,16.1,15.77,16.8,15.66,102164
261,2022-08-16,15.69,16.1,16.15,15.25,54072
262,2022-08-17,16.05,16.03,16.25,15.65,48360
263,2022-08-18,15.8,15.81,16.12,15.46,37378
264,2022-08-19,15.78,15.05,15.88,15.04,39635
265,2022-08-22,15.02,15.07,15.35,14.94,19503
266,2022-08-23,14.97,16.0,16.3,14.78,66391
267,2022-08-24,15.82,16.34,16.56,15.6,98592
268,2022-08-25,16.38,16.59,16.59,15.98,73678
269,2022-08-26,16.73,18.25,18.25,16.63,186833
270,2022-08-29,17.95,16.8,17.95,16.45,179033
271,2022-08-30,16.51,16.12,16.7,15.69,105135
272,2022-08-31,15.84,14.75,15.95,14.75,70866
273,2022-09-01,14.75,14.56,15.2,14.25,48900
274,2022-09-02,14.38,14.45,14.59,14.22,37512
275,2022-09-05,14.48,14.57,14.73,14.06,36631
276,2022-09-06,14.57,14.67,14.8,14.34,33050
277,2022-09-07,14.5,14.53,14.72,14.5,20693
278,2022-09-08,14.64,13.85,14.64,13.85,37864
279,2022-09-09,13.91,13.96,14.15,13.63,27356
280,2022-09-13,13.96,14.05,14.3,13.76,21181
281,2022-09-14,13.75,13.78,13.89,13.63,15678
